quiz_id,left_text,right_text,order
5,你好,nǐ hǎo,1
5,再见,zài jiàn,2
5,早上好,zǎo shàng hǎo,3
5,晚上好,wǎn shàng hǎo,4
6,你好,Hello,1
6,再见,Goodbye,2
6,早上好,Good morning,3
6,晚上好,Good evening,4
7,nǐ hǎo,Hello,1
7,zài jiàn,Goodbye,2
7,zǎo shàng hǎo,Good morning,3
7,wǎn shàng hǎo,Good evening,4
62,你好,nǐ hǎo,1
62,再见,zài jiàn,2
62,早上好,zǎo shàng hǎo,3
62,晚上好,wǎn shàng hǎo,4
78,你好,Hello,1
78,再见,Goodbye,2
78,早上好,Good morning,3
78,晚上好,Good evening,4
79,你好,nǐ hǎo,1
79,再见,zài jiàn,2
79,早上好,zǎo shàng hǎo,3
79,晚上好,wǎn shàng hǎo,4
93,谢谢,xièxiè,1
93,对不起,duìbùqǐ,2
93,没关系,méi guānxi,3
93,请,qǐng,4
93,不客气,bù kèqì,5
94,谢谢,Thank you,1
94,对不起,Sorry,2
94,没关系,It's okay,3
94,请,Please,4
94,不客气,You're welcome,5
