quiz_id,chinese_sentence,pinyin_sentence,correct_answer,distractors
43,___，你好吗？,,你好,"['再见', '晚上好', '谢谢']"
44,我得走了，___！,,再见,"['你好', '早上好', '晚上好']"
45,___，今天的天气很好。,,早上好,"['晚上好', '再见', '谢谢']"
46,___，你吃晚饭了吗？,,晚上好,"['早上好', '你好', '再见']"
47,见到你很高兴，___！,,你好,"['晚上好', '谢谢', '再见']"
48,明天见，___！,,再见,"['你好', '早上好', '晚上好']"
49,太阳出来了，___！,,早上好,"['晚上好', '再见', '你好']"
50,月亮出来了，___！,,晚上好,"['早上好', '你好', '再见']"
51,___，请问你叫什么名字？,,你好,"['晚上好', '再见', '谢谢']"
52,下次见，___！,,再见,"['你好', '晚上好', '早上好']"
53,新的一天开始了，___！,,早上好,"['晚上好', '再见', '你好']"
54,天黑了，___！,,晚上好,"['早上好', '你好', '再见']"
63,"你好, 我是老师.",,,[]
64,早上好,,好,"['见', '你', '晚']"
72,早上好,zǎo shàng hǎo,,"['好早上', '上早好', '好上早']"
73,晚上好,wǎn shàng hǎo,,"['好晚上', '上晚好', '好上晚']"
76,晚上___！,wǎn shàng ___!,好,"['见', '早', '你']"
77,早上___！,zǎo shàng ___!,好,"['见', '你', '再']"
97,他对不起很好。,,对不起,"['谢谢', '不客气', '没关系']"
98,我们谢谢你。,,谢谢,"['对不起', '不客气', '没关系']"
100,"对不起, 我迟到了。",,对不起,"['谢谢', '不客气', '没关系']"
102,他谢谢我。,,谢谢,"['对不起', '不客气', '没关系']"
104,"对不起, 我不懂。",,对不起,"['谢谢', '不客气', '没关系']"
106,你谢谢我。,,谢谢,"['对不起', '不客气', '没关系']"
